VENDOR:,Quad Int'l Inc,Vendor ID:,001,Payout Number:,102,(To Auto-populate in sequence),,,,,
,,,,,,,,,,,
Monies Owed:,Platform,Month,Amount,Commission,Net Payout,,,,,,
4800722,50 YO Anal Loving GILFS,"All Media Group, LLC",PornMegaLoad,$19.80,$1.12,$0.00,$0.00,$3.15,$10.00,$5.54,
4847283,50 YO First Timers!,"All Media Group, LLC",PornMegaLoad,$28.12,$2.33,$0.00,$12.56,$3.89,$6.74,$2.59,
4777469,55+ Busty Anal GILFs,"All Media Group, LLC",PornMegaLoad,$23.89,$4.56,$0.94,$3.60,$4.72,$5.31,$4.75,
4777475,60+ Anal Fucking,"All Media Group, LLC",PornMegaLoad,$9.84,$0.98,$0.00,$3.60,$1.57,$0.82,$2.88,
4876354,"60, Sexy and Still Fucking","All Media Group, LLC",PornMegaLoad,$16.95,$2.44,$0.00,$2.97,$1.50,$4.86,$5.18,
4777466,60YO Anal Silver Foxes,"All Media Group, LLC",PornMegaLoad,$30.43,$4.81,$0.00,$0.00,$4.64,$14.47,$6.51,
4872637,Ageless 60 To 76 YO GILFs,"All Media Group, LLC",PornMegaLoad,$16.51,$3.38,$0.00,$3.60,$1.65,$0.75,$7.14,
,,,Total:,$206.06,,,,,,,
,,,,,,,,,,,
AVE: May 2025,,,,,,,,,,,
Month,Studio,Total Sales,PPV DL,Royalty (35%),,,,,,,
"May, 2025",Porn Mega Load,$27.30,2,$9.56,,,,,,,
,,,,,,,,,,,
AVE: June 2025,,,,,,,,,,,
Month,Studio,Total Sales,PPV DL,Royalty (35%),,,,,,,
"June, 2025",Porn Mega Load,$5.00,1,$1.75,,,,,,,
